name,description,category,ecommerce
Kit herramienta electrónica (Maletines),737-AS12,equipos,TRUE
Caja de pines Veneta,,equipos,TRUE
Caja de respuestos Veneta,,equipos,TRUE
Protoboard,,equipos,TRUE
Estación de desoldado OK Industries (1 Manual del usuario),SA600,equipos,TRUE
Pistola grande p/glufín,,equipos,TRUE
Sujetador de plaquetas,,equipos,TRUE
Puntas para SMD (1121-0357-P5) PACE (0490; 0357; 533),,equipos,TRUE
Perforador DREMEL Mod 395 c/maletín,,equipos,TRUE
"Cargador Rapido para AA, AAA, bateria 9V",,equipos,TRUE
Pulsera antiestática,,equipos,TRUE
Switch TP-LINK TL-SF1008D + Fuente DC,,equipos,TRUE
Adaptador USB a UART D212227,D212227,equipos,TRUE
Módulo LORA 32U4,,equipos,TRUE
Módulo GPS ublox NEO 6M + antena,,equipos,TRUE
Módulo conversor USB/UART modelo PL2303,,equipos,TRUE
Módulo conversor USB/UART modelo CP2102,,equipos,TRUE
Módulo RX AM 433 MHz (RRS3 433.92),,equipos,TRUE
Módulo RX FM 433 MHz,,equipos,TRUE
Módulo TX AM 433 MHz (RT4 433.9),,equipos,TRUE
Módulo TX FM 433 MHz,,equipos,TRUE
HT12E-Codificador serial,,equipos,TRUE
HT12D-Codificador serial,,equipos,TRUE
Módulo Rx-Tx ASK 433MHz (par),,equipos,TRUE
Filtro BIAS TEE HB-NF-PJ,,equipos,TRUE
Módulo Bluetooth modelo RN42,,equipos,TRUE
XBoard para XBee (placa entradas/salidas),CIKA - 28VII2K8,equipos,TRUE
Módulo de RF bidireccional XBee Serie 2 -,XB24-Z7WIT,equipos,TRUE
Módulo de RF bidireccional XBee MaxStream -,XB24-AWI-001,equipos,TRUE
Módulo de RF bidireccional XBee MaxStream -,XB24-ACI-001,equipos,TRUE
Módulo de RF bidireccional XBee Pro S2C,XBP24CZ7SIT-004,equipos,TRUE
Estación de soldado con control de temp. Modelo ZD912,,equipos,TRUE
Motor de CC con caja de reducción IGNIS MR8-78,,equipos,TRUE
Motor de CC con caja de reducción IGNIS MR8-258,,equipos,TRUE
Celda de carga con galga extensiométrica. Carga 100 Kg.,,equipos,TRUE
Medidor de ROE y potencia de RF analógico. Modelo CN-801,,equipos,TRUE
